"time","half","year"
59,"Second",1966
80,"Second",1966
1,"First",1966
22,"First",1966
25,"First",1966
43,"First",1966
67,"Second",1966
88,"Second",1966
30,"First",1966
80,"Second",1966
82,"Second",1966
12,"First",1966
89,"Second",1966
43,"First",1966
18,"First",1966
101,"Extra",1966
120,"Extra",1966
78,"Second",1966
12,"First",1966
89,"Second",1966
117,"Extra",1970
25,"First",1970
63,"Second",1970
76,"Second",1970
70,"Second",1970
13,"First",1970
11,"First",1970
15,"First",1970
52,"Second",1970
75,"Second",1970
28,"First",1970
70,"Second",1970
68,"Second",1970
82,"Second",1970
108,"Extra",1970
31,"First",1970
49,"Second",1970
19,"First",1970
44,"First",1970
76,"Second",1970
89,"Second",1970
8,"First",1970
98,"Extra",1970
104,"Extra",1970
111,"Extra",1970
90,"Second",1970
94,"Extra",1970
110,"Extra",1970
26,"First",1970
18,"First",1970
66,"Second",1970
71,"Second",1970
86,"Second",1970
37,"First",1970
11,"First",1974
90,"Second",1974
25,"First",1974
73,"Second",1974
60,"Second",1974
35,"First",1974
32,"First",1974
49,"Second",1974
7,"First",1974
59,"Second",1974
20,"First",1974
14,"First",1974
50,"Second",1974
65,"Second",1974
39,"First",1974
82,"Second",1974
43,"First",1974
24,"First",1974
62,"Second",1974
43,"First",1974
51,"Second",1974
52,"Second",1974
76,"Second",1974
89,"Second",1974
24,"First",1974
53,"Second",1974
76,"Second",1974
29,"First",1974
85,"Second",1974
27,"First",1974
76,"Second",1974
2,"First",1974
25,"First",1974
43,"First",1974
29,"First",1978
54,"Second",1978
1,"First",1978
15,"First",1978
83,"Second",1978
10,"First",1978
34,"First",1978
36,"First",1978
60,"Second",1978
81,"Second",1978
45,"First",1978
73,"Second",1978
60,"Second",1978
22,"First",1978
37,"First",1978
42,"First",1978
41,"First",1978
67,"Second",1978
55,"Second",1978
79,"Second",1978
87,"Second",1978
46,"First",1978
15,"First",1978
30,"First",1978
38,"First",1978
73,"Second",1978
44,"First",1978
89,"Second",1978
43,"First",1978
43,"First",1978
84,"Second",1978
56,"Second",1978
52,"Second",1978
10,"First",1978
76,"Second",1978
21,"First",1978
45,"First",1978
37,"First",1978
42,"First",1978
75,"Second",1978
40,"First",1978
43,"First",1978
71,"Second",1978
77,"Second",1978
14,"First",1978
40,"First",1978
62,"Second",1978
78,"Second",1978
43,"First",1978
60,"Second",1978
2,"First",1978
36,"First",1978
39,"First",1978
79,"Second",1978
41,"First",1978
44,"First",1978
46,"Second",1978
68,"Second",1978
34,"First",1978
71,"Second",1978
80,"Second",1978
6,"First",1978
35,"First",1978
36,"First",1978
53,"Second",1978
82,"Second",1978
27,"First",1978
82,"Second",1978
3,"First",1978
70,"Second",1978
13,"First",1978
59,"Second",1978
66,"Second",1978
87,"Second",1978
19,"First",1978
72,"Second",1978
19,"First",1978
49,"Second",1978
76,"Second",1978
15,"First",1978
27,"First",1978
72,"Second",1978
16,"First",1978
72,"Second",1978
64,"Second",1978
45,"First",1978
13,"First",1978
58,"Second",1978
63,"Second",1978
21,"First",1978
49,"Second",1978
43,"First",1978
50,"Second",1978
72,"Second",1978
67,"Second",1978
64,"Second",1978
71,"Second",1978
38,"First",1978
38,"First",1978
105,"Extra",1978
115,"Extra",1978
82,"Second",1978
22,"First",1982
73,"Second",1982
17,"First",1982
102,"Extra",1982
108,"Extra",1982
26,"First",1982
92,"Extra",1982
98,"Extra",1982
40,"First",1982
44,"First",1982
46,"Second",1982
13,"First",1982
72,"Second",1982
57,"Second",1982
69,"Second",1982
81,"Second",1982
83,"Second",1982
34,"First",1986
61,"Second",1986
27,"First",1986
70,"Second",1986
111,"Extra",1986
56,"Second",1986
77,"Second",1986
102,"Extra",1986
110,"Extra",1986
30,"First",1986
55,"Second",1986
79,"Second",1986
83,"Second",1986
42,"First",1986
15,"First",1986
57,"Second",1986
88,"Second",1986
31,"First",1986
73,"Second",1986
56,"Second",1986
33,"First",1986
43,"First",1986
56,"Second",1986
80,"Second",1986
88,"Second",1986
68,"Second",1986
17,"First",1986
40,"First",1986
51,"Second",1986
55,"Second",1986
81,"Second",1986
85,"Second",1986
35,"First",1986
9,"First",1986
89,"Second",1986
51,"Second",1986
63,"Second",1986
11,"First",1986
73,"Second",1986
27,"First",1986
43,"First",1986
104,"Extra",1986
111,"Extra",1986
23,"First",1986
55,"Second",1986
83,"Second",1986
74,"Second",1986
80,"Second",1986
106,"Extra",1990
108,"Extra",1990
115,"Extra",1990
12,"First",1990
63,"Second",1990
82,"Second",1990
75,"Second",1990
54,"Second",1990
80,"Second",1990
51,"Second",1990
82,"Second",1990
89,"Second",1990
65,"Second",1990
83,"Second",1990
83,"Second",1990
78,"Second",1990
92,"Extra",1990
119,"Extra",1990
38,"First",1990
25,"First",1990
61,"Second",1990
65,"Second",1990
25,"First",1990
83,"Second",1990
105,"Extra",1990
67,"Second",1990
17,"First",1990
60,"Second",1990
80,"Second",1990
71,"Second",1990
86,"Second",1990
81,"Second",1990
85,"Second",1990
6,"First",1994
40,"First",1994
11,"First",1994
