"times","which.cup"
"55'",1986
"83'",1986
"74'",1986
"80'",1986
"106'",1990
"108'",1990
"115'",1990
"12'",1990
"63'",1990
"82'",1990
"75'",1990
"54'",1990
"80'",1990
"51'",1990
"82'",1990
"89' (pen.)",1990
"65'",1990
"83'",1990
"83'",1990
"78'",1990
"92'",1990
"119'",1990
"38'",1990
"25' (pen.)",1990
"61' (pen.)",1990
"65'",1990
"25'",1990
"83' (pen.)",1990
"105' (pen.)",1990
"67'",1990
"17'",1990
"60'",1990
"80'",1990
"71'",1990
"86' (pen.)",1990
"81'",1990
"85' (pen.)",1990
"6'",1994
"40'",1994
"11'",1994
"8'",1994
"90'",1994
"15'",1994
"74'",1994
"86' (pen.)",1994
"85'",1994
"6'",1994
"51'",1994
"88'",1994
"11'",1994
"18'",1994
"58'",1994
"16' (pen.)",1994
"75'",1994
"11'",1994
"41'",1994
"72'",1994
"25'",1994
"88'",1994
"102' (pen.)",1994
"18' (pen.)",1994
"6'",1994
"25'",1994
"88'",1994
"58'",1994
"64'",1994
"76'",1994
"53'",1994
"63'",1994
"81'",1994
"75'",1994
"78'",1994
"47' (pen.)",1994
"88'",1994
"101'",1994
"78'",1994
"115'",1994
"44' (pen.)",1994
"21'",1994
"25'",1994
"80'",1994
"8'",1994
"30'",1994
"37'",1994
"40'",1994
"18'",1998
"11'",1998
"27'",1998
"45+1' (pen.)",1998
"70'",1998
"68'",1998
"114'",1998
"78'",1998
"3'",1998
"12'",1998
"60'",1998
"76'",1998
"75'",1998
"86'",1998
"47'",1998
"38'",1998
"90+2'",1998
"48'",1998
"45+2' (pen.)",1998
"6' (pen.)",1998
"45+1'",1998
"10' (pen.)",1998
"16'",1998
"11'",1998
"27'",1998
"60'",1998
"2'",1998
"50'",1998
"12'",1998
"90'",1998
"17'",1998
"45+3'",1998
"80'",1998
"85'",1998
"46'",1998
"87'",1998
"47'",1998
"69'",1998
"46'",1998
"21'",1998
"13'",1998
"35'",1998
"27'",1998
"45+1'",1998
"90+3'",1998
"88'",2002
"5'",2002
"22'",2002
"44'",2002
"11'",2002
"37'",2002
"104'",2002
"8'",2002
"90' (pen.)",2002
"8'",2002
"65'",2002
"67'",2002
"87'",2002
"12'",2002
"88'",2002
"117'",2002
"18'",2002
"23'",2002
"45+2'",2002
"50'",2002
"39'",2002
"94'",2002
"75'",2002
"49'",2002
"9'",2002
"90+3'",2002
"1'",2002
"13'",2002
"32'",2002
"67'",2002
"79'",2002
"4'",2006
"12'",2006
"10'",2006
"98'",2006
